Compound index,SMILES,blood mean60min,bone mean60min,brain mean60min,fat mean60min,heart mean60min,intestine mean60min,kidney mean60min,liver mean60min,lung mean60min,muscle mean60min,pancreas mean60min,spleen mean60min,stomach mean60min,uterus mean60min
1066A-5,CC(=O)[C@@]12OC(C)(c3cc(F)ccc3)O[C@@H]1CC1C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]21C,0.47,1.76,0.56,5.76,,,2.18,3.41,1.3,0.82,,,,3.08
1066A-6,[C@H]12CCC(=O)C=C1CCC1C3C[C@H]4OC(C)(c5cc(F)ccc5)O[C@@]4(C(=O)CO)[C@@]3(C)CCC21,0.26,0.62,0.34,3.53,,,1.42,4.25,0.6,0.44,,,,3.65
1067A-18F-FENP,C(C(C1[C@@]2(C)CCC3[C@H]4CCC(=O)C=C4CCC3C2C[C@H]1CC)=O)F,0.25,3.18,0.63,3.56,,,1.05,3.34,0.47,0.42,,,,6.43
1067A-18F4,CC(=O)[C@@]12O[C@](C)(c3ccc(F)cc3)O[C@@H]1CC1C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]21C,0.47,1.76,0.56,5.76,,,2.18,3.41,1.3,0.82,,,,3.08
1067A-18F5,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C)C1C[C@H]1O[C@@](C)(c3ccc(F)cc3)O[C@@]21C(=O)CO,0.26,0.62,0.34,3.53,,,1.42,4.25,0.6,0.44,,,,3.65
1067A-18FFENP,[C@H]12CCC(=O)C=C1CCC1C3C[C@@H](OC)C(C(=O)CF)[C@@]3(C)CCC21,0.25,3.18,0.63,3.56,,,1.05,3.34,0.47,0.42,,,,6.43
1067B-18F1,[C@@H]12CCC3C4CC[C@H](O)[C@@]4(C)C[C@H](F)C3[C@@]1(C)CCC(=O)C2,0.092,0.064,,0.061,,,0.417,1.16,0.111,0.059,,0.048,,
1067B-18F2,[C@@H]12CCC3C4CC[C@H](O)[C@@]4(C)C[C@H](F)C3[C@H]1CCC(=O)C2,0.089,0.068,,0.069,,,0.458,1.812,0.115,0.064,,0.061,,
1069A-16β-F-DHT;18F-2,[C@@H]12CCC3C4CC[C@H](O)[C@@]4(C)C[C@H](F)C3[C@H]1CCC(=O)C2,0.083,1.862,,0.04,,,0.288,0.514,0.119,0.055,,0.094,,
1069A-16β-F-Mib;18F-6,[C@@H]12CCC3C4CC[C@H](O)[C@@]4(C)C[C@H](F)C3[C@H]1CCC(=O)C2,0.158,0.353,,0.413,,,0.554,1.323,0.24,0.18,,0.147,,
1069A-16β-F-MNT;18F-7,[C@@H]12CCC3C4CC[C@H](O)[C@@]4(C)C[C@H](F)C3[C@H]1CCC(=O)C2,0.124,1.853,,0.104,,,0.431,0.519,0.164,0.111,,0.1,,
1069A-16β-F-MNT;18F-9,[C@@H]12CCC3C4CC[C@H](O)[C@@]4(C)C[C@H](F)C3[C@H]1CCC(=O)C2,0.149,0.268,,0.148,,,0.962,0.991,0.141,0.082,,0.059,,
1069A-16β-F-T;18F-4,[C@@H]12CCC3C4CC[C@H](O)[C@@]4(C)C[C@H](F)C3[C@H]1CCC(=O)C2,0.137,2.12,,0.071,,,0.369,0.848,0.134,0.071,,0.075,,
1069A-18F-11,C1=CC2=C3CCC(=O)C=C3CCC2C2C1[C@](O)(CF)CC2,0.234,0.182,,0.334,,,0.691,1.475,0.286,0.218,,0.192,,
1069A-18F-2,C[C@]12CCC3[C@@]4(C)CCC(=O)CC4CCC3C1C[C@H](F)[C@@H]2O,0.083,1.862,,0.04,,,0.288,0.514,0.119,0.055,,0.094,,
1069A-18F-4,C[C@]12CCC3[C@@]4(C)CCC(=O)C=C4CCC3C1C[C@H](F)[C@@H]2O,0.137,2.12,,0.071,,,0.369,0.848,0.134,0.071,,0.075,,
1069A-18F-6,C[C@]12CCC3[C@H]4CCC(O)C=C4C[C@@H](C)C3C1CC(F)[C@@]2(O)C,0.158,0.353,,0.413,,,0.554,1.323,0.24,0.18,,0.147,,
1069A-18F-7,C[C@]12CCC3[C@H]4CCC(O)C=C4C[C@@H](C)C3C1CC(F)[C@@]2(O)F,0.124,1.853,,0.104,,,0.431,0.519,0.164,0.111,,0.1,,
1069A-18F-9,C1CC2[C@H]3CCC(O)C=C3C[C@H](C)C2C2[C@@]1(C)[C@](O)(F)C(F)C2,0.149,0.268,,0.148,,,0.962,0.991,0.141,0.082,,0.059,,
1069A-20-F-R1881;18F-11,O=C1C=C2CCC3C(=C2CC1)C=CC1C3CC[C@@]1(O)CF,0.234,0.182,,0.334,,,0.691,1.475,0.286,0.218,,0.192,,
1073-18F1,O=C(O)CCCCSCCCCCCCCCCCn1cc(CCF)nn1,0.73,1.19,,,3.01,,2.66,4.73,3.09,,,,,
1075-16-18F2,O=C(O)CCSCCCCCCCCCCCCCF,,,,,,,,,,,,,,
1075-18-18F3,CCCCCCCCCC/C=C/CCCCSCCC(=O)O,,,,,,,,,,,,,,
1075-18-18F4,O=C(O)CCSCCCCC#CCCCCCCCCCF,,,,,,,,,,,,,,
1075-18-18F5,O=C(O)CCCCCCCCCCCCCCCCCCF,,,,,,,,,,,,,,
1075-18F-2,C(CF)CCCCCCCCCCSCCC(=O)O,,,,,,,,,,,,,,
1075-18F-3,C(CCCCCCC/C=C\CCCCSCCC(=O)O)F,,,,,,,,,,,,,,
1075-18F-4,C(CCCF)CCCCCCCCCCSCCC(=O)O,,,,,,,,,,,,,,
1075-18F-5,C(CCCCCCCF)CCCCSCCCCC(=O)O,,,,,,,,,,,,,,
