compound index,SMILES,PMID,animal type,gender,animal weight (g),injection dosage (μCi),logBB at60min,brain at60min,blood at60min,liver at60min,lung at60min,kidney at60min,muscle at60min,spleen at60min,intestine at60min,bone at60min,stomach at60min,uterus at60min,heart at60min,fat at60min,pancreas at60min,ref No,DOI
1544-18F-FBMHA,CCCCCCCCCC(F)CCCCC(C)CC(=O)O,15695790,SD rat,male,325.0,54.0,-0.76,0.27,0.58,4.17,0.58,1.66,0.41,,,2.36,,,1.69,,,1544,
1544-18F-FCPHA,CCCCCCCCC(F)CCCCC1CC1CC(=O)O,15695790,SD rat,male,325.0,54.0,-0.47,0.05,0.08,0.87,0.31,0.34,0.1,,,0.7,,,1.43,,,1544,
1546-cis-FDA,C[C@]1(C(=O)O)CCC2c3ccc(O)cc3CCC2[C@H]1CCF,9228655,SD rat,female,50.0,15.0,-3.38,0.2,5.7,1.87,2.4,4.89,0.96,0.71,,3.44,,4.68,1.88,1.2,,1546,10.1016/S0969-8051(97)00058-9
1546-trans-FDA,C[C@]1(C(=O)O)CCC2c3ccc(O)cc3CCC2[C@@H]1CCF,9228655,SD rat,female,50.0,15.0,-2.63,0.03,0.36,0.97,0.18,0.64,0.1,0.1,,2.03,,0.53,0.16,0.09,,1546,10.1016/S0969-8051(97)00058-9
1548-18F2,COc1ccc(OCF)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,15698799,ddY mouse,,35.0,216.0,2.01,4.04,0.54,,,,,,,3.91,,,,,,1548,10.1016/j.bmc.2004.11.058
1548-18F5,COc1ccc(OCF)c(CN(C(C)=O)c2cc(F)ccc2OC2=CCCCC2)c1,15698799,ddY mouse,,35.0,216.0,1.44,3.62,0.86,,,,,,,1.59,,,,,,1548,10.1016/j.bmc.2004.11.058
1553-18FDL,OC[C@@H]1O[C@@H](COC[C@H]2[C@H](O)[C@@H](F)[C@@H](O)O[C@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,,NMRI mouse,,22.0,,,,,,,,,,,,,,,,,1553,10.1002/jlcr.471
1554-18FFDE,CN[C@@H](C)[C@H](F)c1ccccc1,7877146,CD-1 mouse,,22.0,8.5,,,,,,,,,,,,,,,,1554,10.1021/jm00005a008
1554-18FFDP,CN[C@@H](C)[C@@H](F)c1ccccc1,7877146,CD-1 mouse,,22.0,8.5,,,,,,,,,,,,,,,,1554,10.1021/jm00005a008
1556A-18F-5-FdUR,CC1CC(n2cc(F)c(=O)[nH]c2=O)OC1CO,6223818,Donryu rat,male,160.0,2000.0,-1.1,0.04,0.12,1.43,0.16,4.31,0.08,0.4,,,,,0.11,,,1556A,10.1007/BF00522517
1556A-18F-5-FU,O=c1[nH]cc(F)c(=O)[nH]1,6223818,Donryu rat,male,160.0,2000.0,-1.01,0.08,0.22,2.65,0.38,13.8,0.16,0.37,,,,,0.22,,,1556A,10.1007/BF00522517
1556A-18F-5-FUR,O=c1[nH]c(=O)n(C2O[C@H](CO)C(O)[C@H]2O)cc1F,6223818,Donryu rat,male,160.0,2000.0,-1.15,0.06,0.19,1.96,0.34,7.73,0.14,0.31,,,,,0.23,,,1556A,10.1007/BF00522517
1556C-18F5-FU,O=c1[nH]cc(F)c(=O)[nH]1,,NMRI mouse,,29.0,200.0,,,,,,,,,,,,,,,,1556C,10.1016/0883-2897(89)90098-6
1556C-2a,CC(=O)O[C@H]1[C@@H](F)C(=O)NC(=O)N1[C@H]1C[C@H](O)[C@@H](CO)O1,,NMRI mouse,,29.0,200.0,,,,,,,,,,,,,,,,1556C,10.1016/0883-2897(89)90098-6
1556C-2b,CC(=O)O[C@H]1[C@@H](F)C(=O)NC(=O)N1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,,NMRI mouse,,29.0,200.0,,,,,,,,,,,,,,,,1556C,10.1016/0883-2897(89)90098-6
1556C-4a,O=C1NC(=O)N2[C@H]3C[C@H](O)[C@@H](CO[C@H]2[C@H]1F)O3,,NMRI mouse,,29.0,200.0,,,,,,,,,,,,,,,,1556C,10.1016/0883-2897(89)90098-6
1556C-4b,O=C1NC(=O)N2[C@@H]3O[C@H](CO[C@H]2[C@H]1F)[C@@H](O)[C@H]3O,,NMRI mouse,,29.0,200.0,,,,,,,,,,,,,,,,1556C,10.1016/0883-2897(89)90098-6
1556C-6a,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,,NMRI mouse,,29.0,200.0,,,,,,,,,,,,,,,,1556C,10.1016/0883-2897(89)90098-6
1556C-6b,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1F,,NMRI mouse,,29.0,200.0,,,,,,,,,,,,,,,,1556C,10.1016/0883-2897(89)90098-6
1558-18F1,COc1ccc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(OCCF)c(OC)c2)cc1OC,21885280,ICR mouse,male,28.0,30.0,-0.73,0.43,0.89,26.83,2.27,2.25,0.47,10.59,,1.0,,,1.3,,,1558,10.1016/j.bmcl.2011.08.003
1560A-18F6a,COc1cc2c(cc1OCCF)CCN1CC(CC(C)C)C(O)CC21,16934687,ICR mouse,male,23.0,15.0,-0.15,1.51,1.75,3.88,1.74,2.27,1.05,1.56,,5.84,,,1.53,,,1560A,10.1016/j.nucmedbio.2006.05.006
1560A-18F6b,COc1cc2c(cc1OCCCF)CCN1CC(CC(C)C)C(O)CC21,16934687,ICR mouse,male,23.0,15.0,-0.13,0.91,1.04,10.4,2.15,3.63,1.05,2.05,,16.6,,,1.74,,,1560A,10.1016/j.nucmedbio.2006.05.006
1561-18FFE-GW405833,Cc1c(CCN2CCOCC2)c2cc(C(=O)CCF)ccc2n1C(=O)c1cccc(Cl)c1Cl,21737287,NMRI mouse,male,43.0,15.0,-1.97,0.7,5.0,23.7,0.7,2.2,,0.3,35.7,,1.8,,0.3,,0.5,1561,10.1016/j.bmc.2011.06.033
1563A-18F2,CN(C)c1ccc(/C=C/C(=O)/C=C(/C=C/c2ccc(OCCOCCF)cc2)OB(F)F)cc1,31043696,ICR mouse,male,36.0,50.0,-1.07,1.19,3.46,9.36,2.34,2.58,0.87,10.72,9.82,1.43,,,1.87,,,1563A,10.1038/s41598-019-43257-9
1564-18FE-TCP,FCCc1ccc(C2(N3CCCCC3)CCCCC2)s1,8241999,Wistar rat,male,230.0,10.0,0.06,0.12,0.11,0.35,1.09,0.64,,,,0.77,,,0.21,,,1564,10.1016/0969-8051(93)90153-L
1565B-18F-FEAC,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,20660373,ddY mouse,male,28.0,46.0,-0.67,0.42,0.82,5.36,10.38,8.65,1.3,5.35,7.53,1.65,,,2.4,,,1565B,10.2967/jnumed.109.072223
1565B-18F-FEDAC,CN(Cc1ccccc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,20660373,ddY mouse,male,28.0,56.76,-0.69,0.33,0.66,7.09,10.3,9.08,1.27,5.77,9.57,2.02,,,2.4,,,1565B,10.2967/jnumed.109.072223
1567A-18FFEAU,CCc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)c(=O)[nH]c1=O,17206416,Nu/nu mouse,,20.0,1.0,,,,,,,,,,,,,,,,1567A,10.1007/s00259-006-0305-1
1567A-18FFIAU,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)cc1I,17206416,Nu/nu mouse,,20.0,1.0,,,,,,,,,,,,,,,,1567A,10.1007/s00259-006-0305-1
1568A-(18F)FPC,O=C(C1CCCCC1)N(CCN1CCN(c2ccccc2OCCCF)CC1)c1ccccn1,8832704,SD rat,male,250.0,243.27,0.37,0.13,0.09,0.63,0.27,,,,,,,,0.11,,,1568A,10.1016/0969-8051(96)00026-1
1571A-(11C)RTI-31,COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(C)cc1)N2C,8868286,SD rat,male,250.0,621.69,3.09,0.66,0.03,5.37,0.71,,,,,,,,0.18,,,1571A,10.1016/0969-8051(95)02044-6
